Date,Open,High,Low,Close,Adj Close,Volume
2018-07-11,277.149994,278.040009,276.519989,276.859985,276.859985,77054700
2018-07-12,278.279999,279.429993,277.600006,279.369995,279.369995,60124700
2018-07-13,279.170013,279.929993,278.660004,279.589996,279.589996,48216000
2018-07-16,279.640015,279.799988,278.839996,279.339996,279.339996,48201000
2018-07-17,278.470001,280.910004,278.410004,280.470001,280.470001,52315500
2018-07-18,280.559998,281.179993,280.059998,281.059998,281.059998,44593500
2018-07-19,280.309998,280.739990,279.459991,280.000000,280.000000,61412100
2018-07-20,279.769989,280.480011,279.500000,279.679993,279.679993,82337700
2018-07-23,279.450012,280.429993,279.059998,280.200012,280.200012,47047600
2018-07-24,281.790009,282.559998,280.630005,281.609985,281.609985,68026900
2018-07-25,281.329987,284.369995,281.279999,284.010010,284.010010,78882900
2018-07-26,283.200012,284.109985,283.089996,283.339996,283.339996,57919500
2018-07-27,283.709991,283.820007,280.380005,281.420013,281.420013,76768700
2018-07-30,281.510010,281.690002,279.359985,279.950012,279.950012,63742500
2018-07-31,280.809998,282.019989,280.380005,281.329987,281.329987,68570500
2018-08-01,281.559998,282.130005,280.130005,280.859985,280.859985,53853300
2018-08-02,279.390015,282.579987,279.160004,282.390015,282.390015,63426400
2018-08-03,282.529999,283.660004,282.329987,283.600006,283.600006,53935400
2018-08-06,283.640015,284.989990,283.200012,284.640015,284.640015,39400900
2018-08-07,285.390015,286.010010,285.239990,285.579987,285.579987,43196600
2018-08-08,285.390015,285.910004,284.940002,285.459991,285.459991,42114600
2018-08-09,285.529999,285.970001,284.920013,285.070007,285.070007,35652400
2018-08-10,283.450012,284.059998,282.359985,283.160004,283.160004,76985900
